FID,Id,ORIG_FID,Id_1,POINT_X,POINT_Y,X_UTM,Y_UTM
13238,0,0,0,745750.320695000000000,521585.429678999990000,560472.333442999980000,4563799.219340000300000
13239,0,0,0,745750.648981999960000,521580.440468000020000,560472.890105000000000,4563794.247329999700000
13240,0,0,0,745750.977269000020000,521575.451256999980000,560473.446766000010000,4563789.275329999600000
13241,0,0,0,745751.305554999970000,521570.462046000000000,560474.003427000020000,4563784.303329999600000
13242,0,0,0,745751.633842000040000,521565.472835000020000,560474.560088000030000,4563779.331330000400000
13243,0,0,0,745751.962128999990000,521560.483623999990000,560475.116748000030000,4563774.359319999800000
13244,0,0,0,745752.290415000050000,521555.494413000010000,560475.673409000040000,4563769.387319999700000
13245,0,0,0,745752.618702000010000,521550.505201000020000,560476.230070000050000,4563764.415310000100000
13246,0,0,0,745752.946988999960000,521545.515989999990000,560476.786730000050000,4563759.443310000000000
13247,0,0,0,745753.275275000020000,521540.526779000010000,560477.343390999940000,4563754.471300000300000
13248,0,0,0,745753.603561999970000,521535.537568000030000,560477.900050999950000,4563749.499300000300000
13249,0,0,0,745753.931849000040000,521530.548356999990000,560478.456711999960000,4563744.527289999600000
13250,0,0,0,745754.260134999990000,521525.559146000010000,560479.013371999960000,4563739.555289999600000
13251,0,0,0,745754.588421999940000,521520.569934000030000,560479.570031999960000,4563734.583279999900000
13252,0,0,0,745754.916709000010000,521515.580722999990000,560480.126691999960000,4563729.611279999800000
13253,0,0,0,745755.244994999960000,521510.591512000010000,560480.683351999960000,4563724.639270000200000
13254,0,0,0,745755.573282000030000,521505.602300999980000,560481.240011999970000,4563719.667259999600000
13255,0,0,0,745755.901568999980000,521500.613090000000000,560481.796670999960000,4563714.695260000400000
13256,0,0,0,745756.229855000040000,521495.623879000020000,560482.353330999960000,4563709.723249999800000
13257,0,0,0,745756.558141999990000,521490.634667999980000,560482.909990999960000,4563704.751240000100000
13258,0,0,0,745756.886428999950000,521485.645456000000000,560483.466649999960000,4563699.779230000500000
13259,0,0,0,745757.235717999980000,521480.665301000000000,560484.043845999990000,4563694.817239999800000
13260,0,0,0,745760.638307000040000,521477.001643000000000,560487.606540999960000,4563691.311610000200000
13261,0,0,0,745764.040895999990000,521473.337986000000000,560491.169236000050000,4563687.805979999700000
13262,0,0,0,745767.443485000050000,521469.674327999990000,560494.731930000010000,4563684.300359999800000
13263,0,0,0,745770.846074000000000,521466.010669999990000,560498.294623999970000,4563680.794730000200000
13264,0,0,0,745774.248662999950000,521462.347011999980000,560501.857318000050000,4563677.289099999700000
13265,0,0,0,745777.651252000010000,521458.683354999990000,560505.420011000010000,4563673.783470000100000
13266,0,0,0,745781.053840999960000,521455.019696999980000,560508.982704999970000,4563670.277830000000000
13267,0,0,0,745784.456430000020000,521451.356038999980000,560512.545398000050000,4563666.772199999500000
13268,0,0,0,745787.859018999970000,521447.692380999970000,560516.108089999990000,4563663.266570000000000
13269,0,0,0,745791.261608000030000,521444.028723000020000,560519.670782999950000,4563659.760940000400000
13270,0,0,0,745794.664196999980000,521440.365066000030000,560523.233475000020000,4563656.255309999900000
13271,0,0,0,745798.066786000040000,521436.701408000020000,560526.796166999960000,4563652.749680000400000
13272,0,0,0,745801.469374999990000,521433.037750000020000,560530.358858000020000,4563649.244040000300000
13273,0,0,0,745804.871964000050000,521429.374092000010000,560533.921549999970000,4563645.738409999800000
13274,0,0,0,745808.274553000000000,521425.710434000010000,560537.484241000030000,4563642.232780000200000
13275,0,0,0,745811.677141999940000,521422.046777000010000,560541.046931999970000,4563638.727140000100000
13276,0,0,0,745815.079731000010000,521418.383119000010000,560544.609622000020000,4563635.221509999600000
13277,0,0,0,745818.482318999940000,521414.719461000000000,560548.172311999950000,4563631.715880000000000
13278,0,0,0,745821.884908000010000,521411.055803000000000,560551.735002000000000,4563628.210239999900000
13279,0,0,0,745825.287496999950000,521407.392144999990000,560555.297692000050000,4563624.704610000400000
13280,0,0,0,745828.690086000020000,521403.728487999990000,560558.860381999980000,4563621.198970000300000
13281,0,0,0,745832.092674999960000,521400.064829999990000,560562.423071000030000,4563617.693339999800000
13282,0,0,0,745835.495264000030000,521396.401171999980000,560565.985759999950000,4563614.187699999700000
13283,0,0,0,745838.897852999970000,521392.737513999980000,560569.548447999990000,4563610.682059999600000
13284,0,0,0,745842.300442000040000,521389.073856999980000,560573.111137000030000,4563607.176430000000000
13285,0,0,0,745845.703030999980000,521385.410198999980000,560576.673824999950000,4563603.670789999900000
13286,0,0,0,745849.105620000050000,521381.746540999970000,560580.236512999980000,4563600.165149999800000
13287,0,0,0,745852.508208999990000,521378.082883000020000,560583.799200000010000,4563596.659520000200000
13288,0,0,0,745855.910798000060000,521374.419225000020000,560587.361888000040000,4563593.153880000100000
13289,0,0,0,745859.313387000000000,521370.755568000020000,560590.924574999950000,4563589.648240000000000
13290,0,0,0,745862.715975999950000,521367.091910000020000,560594.487261999980000,4563586.142599999900000
13291,0,0,0,745866.118565000010000,521363.428252000010000,560598.049948000000000,4563582.636959999800000
13292,0,0,0,745869.521153999960000,521359.764594000010000,560601.612634000020000,4563579.131319999700000
13293,0,0,0,745872.923743000020000,521356.100936000000000,560605.175320000040000,4563575.625679999600000
13294,0,0,0,745876.326331999970000,521352.437279000010000,560608.738006000060000,4563572.120050000000000
13295,0,0,0,745879.728921000030000,521348.773621000000000,560612.300690999950000,4563568.614409999900000
13296,0,0,0,745882.476249000060000,521344.656690999980000,560615.230509000020000,4563564.625550000000000
13297,0,0,0,745884.704304000010000,521340.180556999990000,560617.658797999960000,4563560.253759999800000
13298,0,0,0,745886.932357999960000,521335.704424000000000,560620.087087000020000,4563555.881970000500000
13299,0,0,0,745889.160413000030000,521331.228290000000000,560622.515374999960000,4563551.510180000200000
13300,0,0,0,745891.388467999990000,521326.752157000010000,560624.943664000020000,4563547.138390000000000
13301,0,0,0,745893.616522000050000,521322.276023000010000,560627.371951999960000,4563542.766599999700000
13302,0,0,0,745895.844577000010000,521317.799889000020000,560629.800240000010000,4563538.394810000400000
13303,0,0,0,745898.072631999970000,521313.323756000030000,560632.228527000060000,4563534.023020000200000
13304,0,0,0,745900.300686000030000,521308.847621999970000,560634.656814999990000,4563529.651230000000000
13305,0,0,0,745902.528740999990000,521304.371487999980000,560637.085102000040000,4563525.279430000100000
13306,0,0,0,745904.756795999940000,521299.895354999990000,560639.513388999970000,4563520.907639999900000
13307,0,0,0,745906.984850000010000,521295.419220999990000,560641.941675000010000,4563516.535849999600000
13308,0,0,0,745909.212904999960000,521290.943086999990000,560644.369962000060000,4563512.164060000300000
13309,0,0,0,745911.440960000040000,521286.466954000000000,560646.798247999980000,4563507.792259999600000
13310,0,0,0,745913.669014999990000,521281.990820000010000,560649.226534000020000,4563503.420470000200000
13311,0,0,0,745915.897069000060000,521277.514687000020000,560651.654819000050000,4563499.048680000000000
13312,0,0,0,745918.125124000010000,521273.038553000020000,560654.083104999970000,4563494.676880000200000
13313,0,0,0,745920.353178999970000,521268.562419000020000,560656.511390000000000,4563490.305089999900000
13314,0,0,0,745922.581233000030000,521264.086285999980000,560658.939675000030000,4563485.933290000100000
13315,0,0,0,745924.809287999990000,521259.610151999980000,560661.367959999950000,4563481.561499999800000
13316,0,0,0,745927.037342999950000,521255.134017999980000,560663.796243999970000,4563477.189700000000000
13317,0,0,0,745929.265397000010000,521250.657884999990000,560666.224527999990000,4563472.817909999800000
13318,0,0,0,745931.493451999970000,521246.181751000000000,560668.652812000010000,4563468.446109999900000
13319,0,0,0,745933.721507000040000,521241.705617000000000,560671.081096000040000,4563464.074319999700000
13320,0,0,0,745935.949560999990000,521237.229484000010000,560673.509379000050000,4563459.702519999800000
13321,0,0,0,745938.177615999940000,521232.753350000010000,560675.937661999950000,4563455.330720000000000
13322,0,0,0,745940.405671000010000,521228.277217000020000,560678.365944999970000,4563450.958929999700000
13323,0,0,0,745942.633724999960000,521223.801083000030000,560680.794227999980000,4563446.587129999900000
13324,0,0,0,745944.861780000040000,521219.324948999970000,560683.222509999990000,4563442.215330000000000
13325,0,0,0,745947.089834999990000,521214.848815999980000,560685.650793000010000,4563437.843530000200000
13326,0,0,0,745949.317889000060000,521210.372681999990000,560688.079075000020000,4563433.471730000300000
13327,0,0,0,745951.545944000010000,521205.896547999990000,560690.507356000020000,4563429.099940000100000
13328,0,0,0,745953.773998999970000,521201.420415000000000,560692.935638000020000,4563424.728140000300000
13329,0,0,0,745956.002054000040000,521196.944281000000000,560695.363919000020000,4563420.356340000400000
13330,0,0,0,745958.230107999990000,521192.468147000010000,560697.792200000030000,4563415.984539999600000
13331,0,0,0,745960.458162999940000,521187.992014000020000,560700.220481000030000,4563411.612739999800000
13332,0,0,0,745962.686218000020000,521183.515880000020000,560702.648761000020000,4563407.240939999900000
13333,0,0,0,745964.914271999970000,521179.039746999970000,560705.077041000010000,4563402.869140000100000
13334,0,0,0,745967.142327000040000,521174.563612999980000,560707.505321000000000,4563398.497340000200000
13335,0,0,0,745969.370381999990000,521170.087478999980000,560709.933601000000000,4563394.125529999800000
13336,0,0,0,745971.598435999940000,521165.611345999990000,560712.361879999980000,4563389.753730000000000
13337,0,0,0,745973.826491000010000,521161.135211999990000,560714.790159999980000,4563385.381930000100000
13338,0,0,0,745976.054545999970000,521156.659078000000000,560717.218438999960000,4563381.010130000300000
13339,0,0,0,745977.869209000030000,521152.047870000010000,560719.240523000010000,4563376.484299999700000
13340,0,0,0,745978.713981000010000,521147.119750000010000,560720.309603999950000,4563371.597090000300000
13341,0,0,0,745979.558752999990000,521142.191631000020000,560721.378685000000000,4563366.709870000400000
13342,0,0,0,745980.403525999980000,521137.263511999980000,560722.447766000060000,4563361.822660000100000
13343,0,0,0,745981.248297999960000,521132.335391999980000,560723.516845999980000,4563356.935449999800000
13344,0,0,0,745982.093070999950000,521127.407272999990000,560724.585927000040000,4563352.048240000400000
13345,0,0,0,745982.937843000050000,521122.479154000000000,560725.655006999960000,4563347.161020000500000
13346,0,0,0,745983.782615000030000,521117.551035000010000,560726.724087000010000,4563342.273810000200000
13347,0,0,0,745984.627388000020000,521112.622915000010000,560727.793167000050000,4563337.386599999900000
13348,0,0,0,745985.472160000000000,521107.694796000030000,560728.862246999980000,4563332.499379999900000
13349,0,0,0,745986.316932999990000,521102.766676999980000,560729.931327000030000,4563327.612169999600000
13350,0,0,0,745987.161704999980000,521097.838557999990000,560731.000405999950000,4563322.724949999700000
13351,0,0,0,745988.006476999960000,521092.910437999990000,560732.069484999990000,4563317.837740000300000
13352,0,0,0,745988.851249999950000,521087.982319000000000,560733.138565000030000,4563312.950520000400000
13353,0,0,0,745989.696022000050000,521083.054200000010000,560734.207643999950000,4563308.063310000100000
13354,0,0,0,745990.540795000040000,521078.126080000020000,560735.276722999990000,4563303.176090000200000
13355,0,0,0,745991.385567000020000,521073.197961000030000,560736.345802000030000,4563298.288879999900000
13356,0,0,0,745992.230339000000000,521068.269841999980000,560737.414880000050000,4563293.401660000000000
13357,0,0,0,745993.075111999990000,521063.341722999990000,560738.483958999980000,4563288.514440000100000
13358,0,0,0,745993.919883999970000,521058.413602999990000,560739.553037000010000,4563283.627229999800000
13359,0,0,0,745994.764655999960000,521053.485484000000000,560740.622115000030000,4563278.740009999800000
13360,0,0,0,745995.609428999950000,521048.557365000020000,560741.691193999960000,4563273.852789999900000
13361,0,0,0,745996.454201000040000,521043.629245000020000,560742.760271999980000,4563268.965570000000000
13362,0,0,0,745997.298974000030000,521038.701126000030000,560743.829349000010000,4563264.078359999700000
13363,0,0,0,745998.143746000020000,521033.773006999980000,560744.898427000040000,4563259.191139999800000
13364,0,0,0,745998.988518000000000,521028.844887999990000,560745.967504999950000,4563254.303919999900000
13365,0,0,0,745999.833290999990000,521023.916768000000000,560747.036581999970000,4563249.416699999900000
13366,0,0,0,746000.678062999970000,521018.988649000010000,560748.105658999990000,4563244.529480000000000
13367,0,0,0,746001.522835999960000,521014.060530000020000,560749.174736000020000,4563239.642260000100000
13368,0,0,0,746002.367607999940000,521009.132411000030000,560750.243813000040000,4563234.755040000200000
13369,0,0,0,746003.212380000040000,521004.204290999970000,560751.312889999940000,4563229.867820000300000
13370,0,0,0,746004.057153000030000,520999.276171999980000,560752.381966999960000,4563224.980600000400000
13371,0,0,0,746004.901925000010000,520994.348052999990000,560753.451043999990000,4563220.093380000400000
13372,0,0,0,746005.746698000000000,520989.419933000000000,560754.520120000000000,4563215.206159999600000
13373,0,0,0,746006.591469999980000,520984.491814000010000,560755.589196000020000,4563210.318939999700000
13374,0,0,0,746007.127022000030000,520979.525824000010000,560756.351535000020000,4563205.379639999900000
