ID,drainagecl,MUKEY
288,Well drained,272695
289,Well drained,272696
290,Well drained,272697
291,Well drained,272698
292,Well drained,272699
293,Excessively drained,272700
294,Well drained,272701
295,,272702
296,,272703
297,,272704
298,,272705
299,Very poorly drained,272706
300,Very poorly drained,272707
301,Poorly drained,272708
302,,1453559
303,,162052
304,Somewhat poorly drained,1702515
305,Very poorly drained,1702523
306,Very poorly drained,1702524
307,Very poorly drained,1702528
308,Very poorly drained,1702533
309,Very poorly drained,1702537
310,Very poorly drained,1702538
311,Very poorly drained,1702539
312,Very poorly drained,1702540
313,Very poorly drained,1702541
314,Poorly drained,1702542
315,Somewhat excessively drained,1702543
316,Somewhat excessively drained,1702544
317,Somewhat poorly drained,1702545
318,Somewhat poorly drained,1702546
319,Poorly drained,1702548
320,Very poorly drained,1702549
321,Very poorly drained,1702550
322,Very poorly drained,1702551
323,Very poorly drained,1702553
324,Very poorly drained,1702554
325,Poorly drained,1702556
326,Very poorly drained,1702557
327,Very poorly drained,1702558
328,Well drained,1702559
329,Well drained,1702560
330,Well drained,1702561
331,Very poorly drained,1702562
332,Poorly drained,1702563
333,Poorly drained,1702564
334,Well drained,1702565
335,Well drained,1702566
336,Excessively drained,1702570
337,Excessively drained,1702571
338,Somewhat poorly drained,1702572
339,Poorly drained,2451223
340,Very poorly drained,2451224
341,Very poorly drained,2451225
342,Very poorly drained,2451226
343,Very poorly drained,2451228
344,Very poorly drained,2451229
345,Somewhat poorly drained,2451230
346,Excessively drained,2451231
347,,2451232
348,Very poorly drained,2451235
349,Excessively drained,2451239
350,Well drained,2451240
351,Somewhat poorly drained,2451242
352,Well drained,2451243
353,Somewhat poorly drained,2453035
354,Moderately well drained,2481932
355,Moderately well drained,2481933
356,Well drained,2481935
357,Well drained,2481936
358,Well drained,2481938
359,Well drained,2481940
360,Well drained,2481945
361,Well drained,2481946
362,Well drained,2481947
363,Well drained,2481950
364,Poorly drained,2481952
365,Excessively drained,2481958
366,Excessively drained,2481959
367,Excessively drained,2481960
368,Excessively drained,2481963
369,Well drained,2481964
370,Well drained,2481965
371,Well drained,2481966
372,Well drained,2481967
373,Well drained,2481969
374,Well drained,2481970
375,,2481971
376,Poorly drained,2481973
377,Well drained,2481976
378,Well drained,2481978
379,Poorly drained,2482292
380,,2485504
381,,2485506
382,,2485508
383,,2485510
384,,2485511
385,,2485512
386,,2485513
387,,2485514
388,,2485515
389,,2485516
390,,2485517
391,,2485519
392,,2485520
393,,2485521
394,,2485522
395,,2485523
396,,2485524
397,,2485525
398,,2485526
399,,2485527
400,,2485528
401,Well drained,2485529
402,,2485530
403,,2485531
404,Very poorly drained,2487330
405,Somewhat poorly drained,2487331
406,Poorly drained,2487334
