"","FID","POINT_X","POINT_Y","Join","Surveyor","SurveyYear","State","County","cornerid","TreeNo","Group_","L2_tree","L1_tree","L3_tree","TDiameter","TDistance","TDegree","water","generalnotes","Line","AREASYMBOL","MUSYM","MUKEY","temp","precip","DEM","om_r","sandtotal_r","silttotal_r","claytotal_r","kwfact","awc_r","ksat_r","CLASS","NCCPI","distance"
"3743",3742,752321.2953,553661.5235,"235133200640tree1","Robert Clark Jr",1834,"IN","Marshall",NA,"tree1","Other","Swamp Ash-I","Swp. Ash","Ash",20,5.0292,"236"," "," ","East","IN141","CvdA",200312,9.800000191,1033.660034,254.467926,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Developed_ Open Space",0.560000002,13110.0670535214
"3744",3743,752328.1768,553666.691,"235133200640tree2","Robert Clark Jr",1834,"IN","Marshall",NA,"tree2","Other","Swamp Ash-I","Swp. Ash","Ash",20,3.621024,"44"," "," ","East","IN141","CvdA",200312,9.800000191,1033.660034,254.5673218,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Developed_ Open Space",0.560000002,13118.5024165889
"3745",3744,747048.6595,540213.1512,"234123500400tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Swamp Ash-I","Swp. Ash","Ash",20,5.0292,"147"," "," ","East","IN099","HtbAU",1702551,9.989999771,1020.22998,249.5127258,0,0,0,0,0,0,0,"Developed_ Open Space",0.150000006,2855.63821964488
"3746",3745,755144.1991,540665.5672,"234133400440tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Swamp Ash-I","swamp ash","Ash",20,4.425696,"39"," "," ","East","IN099","ReyA",1702564,9.949999809,1014.52002,242.0023193,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,"Developed_ Open Space",0.800000012,10955.7272834284
"3747",3746,765191.3218,551695.7297,"235143400540tree2","Reuben J. Dawson",1834,"IN","St. Joseph",NA,"tree2","Other","Swamp Ash-I","Swp Ash","Ash",20,2.816352,"83"," "," ","East","IN141","BuuA",200283,9.890000343,1003.23999,254.0026398,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,"Developed_ Open Space",0.790000021,22961.8021239337
"3748",3747,766550.8179,542608.5087,"234143500600tree1","Reuben J. Dawson",1835,"IN","Marshall",NA,"tree1","Other","Black Ash","b ash","Ash",20,4.02336,"8.5"," "," ","East","IN085","Re",160908,9.920000076,998.5499878,249.704071,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,"Cultivated Crops",0.800000012,22473.6005766208
"3749",3748,767669.701,518498.9223,"232143600300tree1","Reuben J. Dawson",1834,"IN","Marshall",NA,"tree1","Other","Black Ash","b ash","Ash",20,4.224528,"109"," "," ","East","IN085","Bc",160850,9.93999958,997.789978,251.0708008,2.49,51,30.0400009,18.9599991,0.21,0.19,9.1700001,"Developed_ Open Space",0.779999971,21584.6315694457
"3750",3749,752137.4546,548100.4552,"235133200300tree2","Robert Clark Jr",1834,"IN","Marshall",NA,"tree2","Other","Swamp Ash-I","Swp ash","Ash",20,16.09344,"191"," "," ","East","IN099","WtbA",2487341,9.850000381,1027.390015,248.9517822,1.29,40.6300011,37.5699997,21.7999992,0.32,0.19,9.3100004,"Cultivated Crops",0.889999986,9524.43063708558
"3751",3750,776667.3242,519950.6753,"232153540400tree2","Reuben J. Dawson",1834,"IN","Kosciusko",NA,"tree2","Other","White Ash","w ash","Ash",20,9.957816,"192"," "," ","East","IN085","CrA",160860,10.03999996,988.8300171,268.5118713,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Cultivated Crops",0.560000002,30277.8134577609
"3752",3751,751764.1624,536002.8165,"234133200140tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Swamp Ash-I","swp ash","Ash",20,5.431536,"237"," "," ","East","IN099","ReyA",1702564,10.02999973,1016.460022,242.4557343,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,"Hay/Pasture",0.800000012,7774.98807693554
