FID,POINT_X,POINT_Y,Join,Surveyor,SurveyYear,State,County,cornerid,TreeNo,Group_,L2_tree,L1_tree,L3_tree,TDiameter,TDistance,TDegree,water,generalnotes,Line,AREASYMBOL,MUSYM,MUKEY,temp,precip,DEM,om_r,sandtotal_r,silttotal_r,claytotal_r,kwfact,awc_r,ksat_r,CLASS,NCCPI
3495,746910.41140,535365.51270,234123500100tree1,Robert Clark,1834,IN,Marshall,NA,tree1,Other,Sugar Maple,sugar,Maple,24,2.816352,48, , ,East,IN099,Uam,2481970,10.01000023,1018.98999,251.2914581,0,0,0,0,0,0,0,Developed_ Medium Intensity,NA
3496,747554.07090,530410.76190,233123540400tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Sugar Maple,Sugar,Maple,24,13.07592,0, , ,East,IN099,LpvA,2481938,10.02000046,1018.51001,256.3635864,1.54,46.0999985,34.7799988,19.1200008,0.29,0.17,9.1700001,Developed_ Open Space,0.769999981
3497,749691.74010,522220.46020,232123700500tree1,Sylvester Sibley,1833,IN,Marshall,NA,tree1,Other,Sugar Maple,Sugar,Maple,24,3.822192,294, , ,East,IN099,WkxB,2481976,9.960000038,1016.169983,253.4106293,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,Developed_ Open Space,0.790000021
3498,777514.44040,523961.40750,232153600640tree1,Jere Smith,1836,IN,Kosciusko,NA,tree1,Other,Sugar Maple,sugar,Maple,24,2.112264,135.75, , ,East,IN085,KtA,160877,9.930000305,988.5599976,249.6852112,0.92,54.8100014,25.5799999,19.6100006,0.18,0.14,12.9700003,Cultivated Crops,0.709999979
3499,776140.92700,542344.19420,234153500600tree2,Reuben J. Dawson,1835,IN,Kosciusko,NA,tree2,Other,Beech,Beech,Beech,24,6.638544,252.5, , ,East,IN085,CrA,160860,9.920000076,984.210022,258.1059265,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Developed_ Open Space,0.560000002
3500,757706.46060,516302.63940,232133600140tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Beech,Beech,Beech,24,10.0584,269, , ,East,IN099,ReyA,1702564,9.920000076,1011.219971,247.6860657,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,Cultivated Crops,0.800000012
3501,750801.66020,530287.15090,233133140400tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Maple,maple,Maple,24,1.810512,300, , ,East,IN099,BshA,1702515,10.02999973,1017.030029,254.6878662,0.46,66.5899963,20.2700005,13.1400003,0.17,0.15,28.2299995,Cultivated Crops,0.660000026
3502,754795.59350,527673.67980,233133400240tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Elm,elm,Elm,24,1.408176,112, , ,East,IN099,BuuA,1702542,9.989999771,1011.98999,249.9195404,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,Cultivated Crops,0.790000021
3503,757916.71370,525128.65130,233133600100tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Sugar Maple,Sugar,Maple,24,7.04088,338.5, , ,East,IN099,RopB,1702566,9.970000267,1008.119995,255.3139038,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Cultivated Crops,0.75
3504,776741.75860,529625.05680,233153540400tree1,Reuben J. Dawson,1834,IN,Kosciusko,NA,tree1,Other,Sugar Maple,Sugar,Maple,24,1.408176,8, , ,East,IN085,MaA,160879,9.890000343,988.4199829,266.3279724,1.04,55.6800003,26.1399994,18.1800003,0.26,0.17,17.9400005,Developed_ Open Space,0.790000021
3505,747115.94920,542599.34400,234123500540tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Sugar Maple,sugar,Maple,24,2.212848,320, , ,East,IN099,RopB,1702566,9.949999809,1022.559998,257.2269287,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Developed_ Open Space,0.75
3506,778707.64670,545604.71830,235153640200tree1,Reuben J. Dawson,1834,IN,Elkhart,NA,tree1,Other,Sugar Maple,Sugar,Maple,24,3.419856,42, , ,East,IN039,CvdA,165351,9.850000381,977.8499756,258.6481628,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Developed_ Low Intensity,0.560000002
3507,750585.08430,522184.40370,232133140500tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Sugar Maple,Sugar,Maple,24,2.816352,222, , ,East,IN099,RopB,1702566,9.949999809,1015.099976,249.632019,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Cultivated Crops,0.75
3508,751627.39410,529438.76640,233133200340tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Sugar Maple,sugar,Maple,24,2.01168,318, , ,East,IN099,OlcA,1702559,10.02999973,1015.51001,257.8699036,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,Developed_ Open Space,0.660000026
3509,751592.06730,528626.85710,233133200300tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Sugar Maple,sugar,Maple,24,12.874752,261, , ,East,IN099,OlcA,1702559,10.02999973,1015.26001,258.9438477,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,Cultivated Crops,0.660000026
3510,762161.98660,528230.53330,233143240300tree2,Reuben J. Dawson,1834,IN,Marshall,NA,tree2,Other,Aspen,poplar,Poplar/tulip poplar,24,2.5146,9, , ,East,IN099,SdzA,2453035,9.949999809,1003.710022,251.1060181,0.81,57.4000015,28.6499996,13.9499998,0.29,0.13,37.0499992,Cultivated Crops,0.560000002
3511,761915.04760,550185.05210,235143200440tree2,Reuben J. Dawson,1834,IN,St. Joseph,NA,tree2,Other,Linden,Lyme,Basswood,24,12.673584,212.25, , ,East,IN141,BuuA,200283,9.880000114,1008.690002,252.9668732,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,Developed_ Low Intensity,0.790000021
3512,763104.03680,535466.35510,234143300140tree2,Reuben J. Dawson,1835,IN,Marshall,NA,tree2,Other,Beech,Beech,Beech,24,5.0292,158, , ,East,IN099,BuuA,1702542,9.949999809,1003.419983,253.5205688,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,Deciduous Forest,0.790000021
3513,774477.92740,539161.35830,234153400400tree2,Reuben J. Dawson,1835,IN,Kosciusko,NA,tree2,Other,Beech,Beech,Beech,24,11.365992,227, , ,East,IN085,CrA,160860,9.93999958,988.2700195,254.1472015,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Cultivated Crops,0.560000002
3514,751684.00940,531835.09420,233133200500tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Beech,beech,Beech,24,7.242048,269, , ,East,IN099,BufA,2481933,10.05000019,1015.880005,255.5693054,0.6,68.0599976,20.6900005,11.25,0.2,0.14,28.0499992,Cultivated Crops,0.649999976
3515,775301.52960,540747.69510,234153440500tree2,Reuben J. Dawson,1835,IN,Kosciusko,NA,tree2,Other,Elm,Elm,Elm,24,6.236208,194.5, , ,East,IN085,CrA,160860,9.930000305,987.1199951,252.8639679,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Cultivated Crops,0.560000002
3516,771085.98460,528875.66910,233153200340tree2,Reuben J. Dawson,1834,IN,Kosciusko,NA,tree2,Other,Hickory,Hicky,Hickory,24,6.236208,311.5, , ,East,IN085,Wt,160932,9.930000305,992.9799805,246.1090393,1.29,40.6300011,37.5699997,21.7999992,0.32,0.19,9.3100004,Developed_ Open Space,0.889999986
3517,754691.41750,522813.00280,232133400540tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Sugar Maple,Sugar,Maple,24,1.207008,0, , ,East,IN099,GdnA,2451235,9.930000305,1011.340027,237.498291,3.53,77.1800003,13.3500004,9.4700003,0.14,0.11,16.25,Developed_ Open Space,0.720000029
3518,754675.20770,522016.90460,232133400500tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Maple,Maple,Maple,24,2.212848,23, , ,East,IN099,GdnA,2451235,9.949999809,1011.559998,239.2938538,3.53,77.1800003,13.3500004,9.4700003,0.14,0.11,16.25,Cultivated Crops,0.720000029
3519,758173.05840,534013.30200,233133600640tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Maple,maple,Maple,24,8.04672,176, , ,East,IN099,WtbA,2487341,9.979999542,1009.25,251.438797,1.29,40.6300011,37.5699997,21.7999992,0.32,0.19,9.3100004,Cultivated Crops,0.889999986
3520,747995.92580,517463.34940,232123600200tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Aspen,Aspen,Poplar,24,65.3796,91, , ,East,IN099,RoqC2,2481965,9.890000343,1018.119995,257.5878296,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,Developed_ Open Space,0.660000026
3521,746296.74790,516730.05280,232123500140tree2,Robert Clark Jr,1835,IN,Marshall,NA,tree2,Other,Aspen,Poplar,Poplar/tulip poplar,24,11.667744,309, , ,East,IN099,RopA,1702565,9.909999847,1019.849976,262.3819275,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Developed_ Open Space,0.75999999
3522,745301.69610,536201.30980,234123400140tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Aspen,Poplar,Poplar/tulip poplar,24,1.609344,119, , ,East,IN099,WciAH,2495705,10.01000023,1018.919983,238.2945099,1.58,58.0699997,26.3899994,16.5400009,0.28,0.15,28.5100002,Deciduous Forest,0.469999999
3523,778269.77660,519937.69380,232153640400tree2,Reuben J. Dawson,1834,IN,Kosciusko,NA,tree2,Other,Poplar,poplar,Poplar/tulip poplar,24,21.12264,244, , ,East,IN085,MaC,160881,10.02000046,988.4400024,260.6307983,1.04,55.6800003,26.1399994,18.1800003,0.26,0.17,17.9400005,Cultivated Crops,0.75999999
3524,778076.00200,551291.44530,235153600540tree1,Reuben J. Dawson,1834,IN,Elkhart,NA,tree1,Other,Hickory Elm,Hicky Elm,Other hardwood,24,2.816352,283.5, , ,East,IN039,BuuA,165330,9.800000191,979.0100098,257.6038818,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,Developed_ Low Intensity,0.790000021
3525,744201.95910,552373.05050,235123300540tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Maple,maple,Maple,24,1.00584,251, , ,East,IN141,BuuA,200283,9.729999542,1034.390015,265.9694214,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,Developed_ Open Space,0.790000021
3526,761644.45000,540681.98510,234143200440tree2,Reuben J. Dawson,1835,IN,Marshall,NA,tree2,Other,Aspen,aspen,Poplar,24,319.655952,0, , ,East,IN099,BuuA,1702542,9.930000305,1005.109985,247.3565826,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,Developed_ Open Space,0.790000021
3527,753109.76090,523763.06850,232133300600tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Aspen,Poplar,Poplar/tulip poplar,24,4.425696,65, , ,East,IN099,SdzA,2453035,9.949999809,1013.159973,239.0007172,0.81,57.4000015,28.6499996,13.9499998,0.29,0.13,37.0499992,Developed_ Open Space,0.560000002
3528,773257.83170,552247.85690,235153300600tree1,Reuben J. Dawson,1834,IN,Elkhart,NA,tree1,Other,Aspen,Poplar,Poplar/tulip poplar,24,6.53796,81.25, , ,East,IN039,CvdA,165351,9.819999695,988.1300049,271.1875916,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Developed_ Low Intensity,0.560000002
3529,744124.81170,549983.12480,235123300400tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Aspen,poplar,Poplar/tulip poplar,24,8.247888,357, , ,East,IN141,RopB,200316,9.760000229,1031.849976,268.8387756,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Developed_ Open Space,0.75
3530,761766.93020,545376.11530,235143200140tree1,Reuben J. Dawson,1834,IN,St. Joseph,NA,tree1,Other,"Poplar-IL,M",Poplar,Poplar/tulip poplar,24,3.01752,306, , ,East,IN099,RopB,1702566,9.890000343,1007.609985,260.1877136,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Developed_ Open Space,0.75
3531,775922.80140,529621.77220,233153500400tree1,Reuben J. Dawson,1834,IN,Kosciusko,NA,tree1,Other,Aspen,Poplar,Poplar/tulip poplar,24,4.224528,291, , ,East,IN085,MaA,160879,9.899999619,989.289978,263.2670898,1.04,55.6800003,26.1399994,18.1800003,0.26,0.17,17.9400005,Developed_ Open Space,0.790000021
3532,769565.98970,535253.48120,234143700140tree2,Reuben J. Dawson,1835,IN,Marshall,NA,tree2,Other,Black Ash,b ash,Ash,24,5.0292,256, , ,East,IN085,Se,160916,9.960000038,994.3200073,256.1271973,1.51,50.9300003,25.2099991,23.8600006,0.22,0.16,10.4099998,Developed_ Open Space,0.639999986
3533,760874.87540,542807.43020,234143140600tree2,Reuben J. Dawson,1835,IN,Marshall,NA,tree2,Other,White Ash,w ash,Ash,24,4.425696,323.5, , ,East,IN099,BuuA,1702542,9.920000076,1007.52002,253.7797394,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,Deciduous Forest,0.790000021
3534,746514.73110,523999.73930,232123500600tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Swamp Ash-I,Swp. Ash,Ash,24,9.857232,311, , ,East,IN099,ReyA,1702564,9.979999542,1018.059998,242.7224121,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,Cultivated Crops,0.800000012
3535,752128.48470,547313.69070,235133200240tree2,Robert Clark Jr,1834,IN,Marshall,NA,tree2,Oak,Bur Oak,Burr oak,Oak,23,10.0584,13.5, , ,East,IN099,ReyA,1702564,9.850000381,1027.390015,248.5393066,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,Deciduous Forest,0.800000012
3536,764141.04900,542667.05180,234143340600tree2,Reuben J. Dawson,1835,IN,Marshall,NA,tree2,Oak,Bur Oak,Burr Oak,Oak,23,4.828032,54, , ,East,IN099,RoqB,2481964,9.920000076,1003.539978,255.5111847,0.68,52.8400002,29.7199993,17.4300003,0.27,0.15,32.1699982,Cultivated Crops,0.75999999
3537,753561.60700,541579.51960,234133300500tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,Bur Oak,Burr Oak,Oak,23,4.02336,232, , ,East,IN099,PnyA,2481952,9.93999958,1016.869995,244.0140381,1.89,69.4100037,22.0799999,8.5100002,0.17,0.14,35.2200012,Cultivated Crops,0.670000017
3538,754978.65570,533314.17740,233133400600tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Bur Oak,Burr Oak,Oak,23,1.207008,40, , ,East,IN099,CwkB,2481936,10.01000023,1012.859985,258.909729,0.92,76.8600006,13.1800003,9.96,0.17,0.1,61.2599983,Cultivated Crops,0.560000002
3539,778309.80500,523166.18090,232153640600tree1,Jere Smith,1836,IN,Kosciusko,NA,tree1,Oak,White Oak,w oak,Oak,23,3.822192,265, , ,East,IN085,OrB,160899,9.93999958,988.5499878,248.8650818,0.57,83.2200012,11.2700005,5.5100002,0.11,0.1,82.8499985,Developed_ Open Space,0.560000002
3540,778315.23000,523176.10710,232153640600tree2,Jere Smith,1836,IN,Kosciusko,NA,tree2,Oak,White Oak,w oak,Oak,23,9.857232,7.5, , ,East,IN085,OrB,160899,9.93999958,988.5499878,249.0826416,0.57,83.2200012,11.2700005,5.5100002,0.11,0.1,82.8499985,Developed_ Open Space,0.560000002
3541,779097.61910,519939.15270,232153700400tree2,S. Sibley,1833,IN,Kosciusko,NA,tree2,Oak,White Oak,w oak,Oak,23,4.02336,193, , ,East,IN085,OrC,160900,10,988.2800293,253.3925934,0.57,83.2200012,11.2700005,5.5100002,0.11,0.1,82.8499985, ,0.540000021
3542,756921.52020,546362.93010,235133500200tree1,Robert Clark Jr,1834,IN,Marshall,NA,tree1,Oak,White Oak,w oak,Oak,23,7.845552,346, , ,East,IN099,RopB,1702566,9.869999886,1016.72998,251.032547,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Developed_ Low Intensity,0.75
3543,745234.21210,533675.06550,233123400600tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W. Oak,Oak,23,9.253728,237, , ,East,IN099,RoqC2,2481965,10.02000046,1018.75,249.9811096,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,Deciduous Forest,0.660000026
3544,739254.43050,548462.59800,235113600300tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Swamp Ash-I,Swp ash,Ash,23,4.224528,293, , ,East,IN099,ReyA,1702564,9.850000381,1023.580017,242.1000519,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,Developed_ Open Space,0.800000012
3545,758014.32650,528335.29490,233133600300tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Maple,Maple,Maple,23,5.230368,207, , ,East,IN099,CvdA,1702545,9.970000267,1008.049988,248.5161591,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Developed_ Open Space,0.560000002
3546,755564.55060,526834.22560,233133440200tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Beech,beech,Beech,23,2.01168,222, , ,East,IN099,RopA,1702565,9.970000267,1010.359985,247.2641296,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Cultivated Crops,0.75999999
3547,738573.45500,553289.27960,235113540600tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Beech,Beech,Beech,23,4.626864,319, , ,East,IN141,CvdA,200312,9.779999733,1026.829956,243.4505157,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Developed_ Open Space,0.560000002
3548,761295.60900,525047.65740,233143200100tree2,Robert Clark,1834,IN,Marshall,NA,tree2,Other,Beech,beech,Beech,23,16.09344,309.5, , ,East,IN099,CvdA,1702545,9.930000305,1004.840027,256.2036133,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Cultivated Crops,0.560000002
3549,753064.86810,521286.21650,232133300440tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Beech,Beech,Beech,23,4.828032,302, , ,East,IN099,RopB,1702566,9.949999809,1013.640015,246.6295929,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Developed_ Open Space,0.75
3550,756230.81200,549601.02890,235133440400tree2,Robert Clark Jr,1834,IN,Marshall,NA,tree2,Other,Beech,Beech,Beech,23,2.01168,212, , ,East,IN099,CvdA,1702545,9.840000153,1022.320007,249.0511169,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Cultivated Crops,0.560000002
3551,740856.30210,547644.75780,235113700240tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Elm,elm,Elm,23,14.685264,344, , ,East,IN099,CvdA,1702545,9.859999657,1025.550049,255.1232605,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Developed_ Open Space,0.560000002
3552,755194.64730,543058.37220,234133400600tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Elm,elm,Elm,23,5.431536,263, , ,East,IN099,BuuA,1702542,9.930000305,1015.679993,244.5175171,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,Developed_ Open Space,0.790000021
3553,752300.68450,552937.91590,235133200600tree1,Robert Clark Jr,1834,IN,Marshall,NA,tree1,Other,Sugar Maple,sugar,Maple,23,8.650224,252, , ,East,IN141,BuuA,200283,9.800000191,1033.5,254.3669128,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,Developed_ Low Intensity,0.790000021
3554,739388.73030,553267.91020,235113600600tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Sugar Maple,Sugar,Maple,23,1.408176,36, , ,East,IN141,CvdA,200312,9.779999733,1026.829956,251.3318634,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Cultivated Crops,0.560000002
3555,753906.54620,552896.76710,235133300600tree2,Robert Clark Jr,1834,IN,Marshall,NA,tree2,Other,Sugar Maple,Sugar,Maple,23,7.242048,336, , ,East,IN141,ReyA,200282,9.800000191,1030.060059,255.3667145,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,Developed_ Open Space,0.800000012
3556,745256.81190,534535.69830,233123400640tree2,David Hillis,1834,IN,Marshall,NA,tree2,Other,Aspen,Poplar,Poplar/tulip poplar,23,8.247888,239, , ,East,IN099,UmfC,2485520,10.01000023,1018.77002,243.3711243,0.28,24,13.0699997,7.9299998,0.12,0.07,14.79,Developed_ Low Intensity,0.330000013
3557,766010.37890,516124.55570,232143500140tree2,Reuben J. Dawson,1834,IN,Marshall,NA,tree2,Oak,Yellow Oak,y oak,Oak,22,11.265408,17, , ,East,IN085,WlB,160929,9.949999809,1001.840027,255.4812927,1,49.4900017,31.0100002,19.5,0.29,0.18,8.9799995,Developed_ Open Space,0.75999999
3558,757731.13280,541323.86990,234133540500tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,Bur Oak,Burr Oak,Oak,22,158.520384,86, , ,East,IN099,CvdA,1702545,9.930000305,1011.080017,244.9912109,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Cultivated Crops,0.560000002
3559,753435.81600,537525.42170,234133300240tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,Red Oak,r oak,Oak,22,2.01168,128, , ,East,IN099,PnyA,2481952,9.989999771,1015.27002,242.2922974,1.89,69.4100037,22.0799999,8.5100002,0.17,0.14,35.2200012,Cultivated Crops,0.670000017
3560,761659.17940,541159.77890,234143200500tree1,Reuben J. Dawson,1835,IN,Marshall,NA,tree1,Oak,White Oak,w oak,Oak,22,9.253728,163.5, , ,East,IN099,WkxB,2481976,9.930000305,1005.109985,250.5538177,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,Developed_ Open Space,0.790000021
3561,749153.04420,530349.68790,233123640400tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,22,1.609344,172, , ,East,IN099,LpvA,2481938,10.02000046,1017.940002,253.5141602,1.54,46.0999985,34.7799988,19.1200008,0.29,0.17,9.1700001,Developed_ Open Space,0.769999981
3562,756779.57440,541678.86360,234133500500tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Bur Oak,Burr Oak,Oak,22,320.259456,0, , ,East,IN099,CvdA,1702545,9.930000305,1013.049988,245.0000153,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Cultivated Crops,0.560000002
3563,769800.76690,544279.02760,235143700100tree1,99999,1829,IN,St. Joseph,NA,tree1,Oak,Spanish Oak,Sp. Oak,Oak,22,1.609344,305, , ,East,IN039,CvdA,165351,9.920000076,993.789978,263.8818054,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Developed_ Low Intensity,0.560000002
3564,756324.92450,523643.55610,232133500600tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Bur Oak,burr oak,Oak,22,72.621648,4, , ,East,IN099,BufA,2481933,9.949999809,1010.380005,240.3211823,0.6,68.0599976,20.6900005,11.25,0.2,0.14,28.0499992,Cultivated Crops,0.649999976
3565,747950.56530,518272.51010,232123600240tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Red Oak,Red Oak,Oak,22,5.0292,234.5, , ,East,IN099,RoqC2,2481965,9.890000343,1018.119995,257.9885254,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,Developed_ Open Space,0.660000026
3566,751823.31370,538437.07950,234133200300tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,w oak,Oak,22,5.0292,328, , ,East,IN099,CvdA,1702545,10,1017.780029,248.1670532,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Cultivated Crops,0.560000002
3567,753587.11820,542371.44780,234133300540tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,w oak,Oak,22,10.0584,147, , ,East,IN099,CnbB,1702543,9.930000305,1017.630005,245.5955811,0.39,91.75,5.4000001,2.8499999,0.02,0.07,55,Cultivated Crops,0.449999988
3568,776675.30160,518339.03250,232153540300tree1,Reuben J. Dawson,1834,IN,Kosciusko,NA,tree1,Oak,Black Oak,b oak,Oak,22,23.938992,120.5, , ,East,IN085,ClC,160859,10.03999996,988.9500122,266.3183899,0.39,90.1500015,6.8000002,3.05,0.03,0.08,55,Developed_ Open Space,0.360000014
3569,772732.23230,530468.77990,233153300440tree2,Reuben J. Dawson,1834,IN,Kosciusko,NA,tree2,Oak,White Oak,W. Oak,Oak,22,13.176504,43, , ,East,IN085,Wt,160932,9.949999809,991.1199951,254.6397247,1.29,40.6300011,37.5699997,21.7999992,0.32,0.19,9.3100004,Developed_ Open Space,0.889999986
3570,777545.52490,523183.80230,232153600600tree2,Jere Smith,1836,IN,Kosciusko,NA,tree2,Oak,White Oak,W. Oak,Oak,22,43.25112,50.25, , ,East,IN085,OrA,160898,9.93999958,988.5499878,249.0004272,0.57,83.2200012,11.2700005,5.5100002,0.11,0.1,82.8499985,Developed_ Open Space,0.560000002
3571,757728.08840,546327.06030,235133540200tree2,Robert Clark Jr,1834,IN,Marshall,NA,tree2,Oak,White Oak,w oak,Oak,22,2.01168,60, , ,East,IN099,RoqC2,2481965,9.880000114,1014.02002,250.2271271,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,Developed_ Low Intensity,0.660000026
3572,756955.14950,547146.15590,235133500240tree1,Robert Clark Jr,1834,IN,Marshall,NA,tree1,Oak,White Oak,w oak,Oak,22,6.839712,134, , ,East,IN099,CwkB,2481936,9.869999886,1016.72998,248.9391937,0.92,76.8600006,13.1800003,9.96,0.17,0.1,61.2599983,Developed_ Open Space,0.560000002
3573,746024.00340,530357.16520,233123400300tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W. Oak,Oak,22,1.609344,295, , ,East,IN099,RopB,1702566,10.02999973,1018.890015,254.2100983,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Developed_ Low Intensity,0.75
3574,751555.96620,527001.06170,233133200200tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,22,12.472416,175, , ,East,IN099,OlcD,1702561,10.01000023,1014.820007,252.1771088,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,Cultivated Crops,0.600000024
3575,779108.78860,522374.18750,232153700540tree1,S. Sibley,1833,IN,Kosciusko,NA,tree1,Oak,White Oak,w oak,Oak,22,6.437376,324, , ,East,IN085,OrB,160899,9.930000305,988.1199951,249.2812805,0.57,83.2200012,11.2700005,5.5100002,0.11,0.1,82.8499985,Developed_ Medium Intensity,0.560000002
3576,746228.62800,540212.80020,234123440400tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,w oak,Oak,22,5.431536,206, , ,East,IN099,RoqB,2481964,10,1019.799988,253.8714447,0.68,52.8400002,29.7199993,17.4300003,0.27,0.15,32.1699982,Deciduous Forest,0.75999999
3577,774217.79290,516769.74510,232153400200tree1,Reuben J. Dawson,1834,IN,Kosciusko,NA,tree1,Oak,White Oak,w oak,Oak,22,5.833872,122, , ,East,IN085,OrA,160898,10.02000046,990.6900024,258.8424377,0.57,83.2200012,11.2700005,5.5100002,0.11,0.1,82.8499985,Cultivated Crops,0.560000002
3578,779006.49790,520658.46440,232153700440tree2,S. Sibley,1833,IN,Kosciusko,NA,tree2,Oak,White Oak,w oak,Oak,22,135.386064,224, , ,East,IN085,Wa,160926,9.970000267,988.2000122,247.8637695,5.6100001,19.7000008,59.6199989,20.6700001,0.36,0.18,9.1700001,Developed_ Open Space,0.870000005
