"","POINT_X","density","Line"
"550",718346.1124,330.672183357,"West"
"551",718359.6819,0.303709063543,"West"
"552",718369.44,13.4833623926,"West"
"553",718384.69,4.59181857933,"West"
"554",718407.4761,35.7139313374,"West"
"555",718417.6746,106.893027765,"West"
"556",718426.0228,0,"West"
"557",718445.51,1.13457251905,"West"
"558",718479.8991,6.45734878276,"West"
"559",718514.29,0,"West"
"560",718563.6785,194.006353408,"West"
"561",718637.114,0,"West"
"562",718689.54,0.544132250129,"West"
"563",718725.9477,0.266736376708,"West"
"564",718747.5743,0,"West"
"565",718798.3574,0,"West"
"566",718834.36,1.87444687144,"West"
"567",718867.5796,51.9783831781,"West"
"568",718872.4931,0,"West"
"569",718900.8,343.73231708,"West"
"570",718933.8464,0.572786776918,"West"
"571",718966.89,0,"West"
"572",719001.0355,166.931488519,"West"
"573",719027.8196,0,"West"
"574",719035.18,255.932342178,"West"
"575",719070.0889,0,"West"
"576",719105,0.422913429631,"West"
"577",719136.9888,33.0482420065,"West"
"578",719168.98,0,"West"
"579",719178.1372,0.643871455784,"West"
"580",719195.8142,0,"West"
"581",719201.3806,0.404020035336,"West"
"582",719233.78,0.0929797803457,"West"
"583",719255.0826,4.24949201735,"West"
"584",719264.7901,0,"West"
"585",719295.8,0,"West"
"586",719331.0527,4.17658200036,"West"
"587",719338.1185,15.6386797876,"West"
"588",719380.44,0,"West"
"589",719421.8015,0,"West"
"590",719463.16,0.103724205598,"West"
"591",719493.0694,198.529498545,"West"
"592",719532.7109,0,"West"
"593",719559.5,0,"West"
"594",719566.752,275.854526804,"West"
"595",719582.9331,19.5605150011,"West"
"596",719606.37,0,"West"
"597",719638.9749,0,"West"
"598",719640.9159,0,"West"
"599",719707.7805,132.295530527,"West"
"600",719711.8184,0,"West"
"601",719752.06,0,"West"
"602",719775.3645,192.841752412,"West"
"603",719791.2367,0,"West"
"604",719838.9381,115.041027405,"West"
"605",719912.8206,19.5335302555,"West"
"606",719917.12,0,"West"
"607",719962.0248,5.67109565677,"West"
"608",719972.9315,0,"West"
"609",719986.83,144.294334908,"West"
"610",720025.7437,0.48982970664,"West"
"611",720035.786,3.65393718686,"West"
"612",720064.66,271.517575947,"West"
"613",720100.53,52.4835239556,"West"
"614",720106.2362,4.39193784299,"West"
"615",720147.82,3.33593191478,"West"
"616",720182.4091,0.510128037207,"West"
"617",720183.3249,3.72397727537,"West"
"618",720218.83,25.985012009,"West"
"619",720262.6406,0,"West"
"620",720309.6496,3.03495588198,"West"
"621",720371.15,7.49285688389,"West"
"622",720409.3105,12.2950259505,"West"
"623",720425.4653,27.7374794933,"West"
"624",720447.47,39.5929738513,"West"
"625",720481.1168,3.49872518911,"West"
"626",720495.318,0,"West"
"627",720514.76,0,"West"
"628",720549.2986,21.6270897058,"West"
"629",720583.84,1.13713510465,"West"
"630",720613.2671,18.0053669549,"West"
"631",720642.7,17.2833842395,"West"
"632",720643.2443,0,"West"
"633",720681.6699,1.14629955659,"West"
"634",720720.64,113.85344104,"West"
"635",720748.7633,2.6157068181,"West"
"636",720776.89,0.425194941909,"West"
"637",720807.3369,7.06363931053,"West"
"638",720810.0352,0,"West"
"639",720837.79,0,"West"
"640",720871.5259,0,"West"
"641",720886.3464,0,"West"
"642",720905.26,0.0632001882313,"West"
"643",720944.8206,0,"West"
"644",720961.936,7.13723817559,"West"
"645",720984.38,72.8999534887,"West"
"646",721023.2482,15.5795324294,"West"
"647",721030.2209,0,"West"
"648",721062.12,47.4624663813,"West"
"649",721087.7456,0,"West"
"650",721104.558,1.85087054491,"West"
"651",721113.37,0,"West"
"652",721153.727,0,"West"
"653",721180.0844,13.7672383937,"West"
"654",721194.08,0,"West"
"655",721244.56,0,"West"
"656",721253.5992,485.158010372,"West"
"657",721281.8084,2.809314531,"West"
"658",721319.06,0,"West"
"659",721323.0836,0.542423903871,"West"
"660",721351.4006,0,"West"
"661",721383.74,107.607645581,"West"
"662",721388.7875,1.23737336648,"West"
"663",721419.9086,0,"West"
"664",721453.0858,48.5196031469,"West"
"665",721456.07,1.16173971531,"West"
"666",721495.2241,4.92863421359,"West"
"667",721523.6025,50.7115262346,"West"
"668",721572.2262,0,"West"
"669",721588.1809,1.80173234445,"West"
"670",721633.24,4.51433927918,"West"
"671",721646.6662,0,"West"
"672",721653.4284,0,"West"
"673",721670.6379,0.672844757461,"West"
"674",721708.04,0.282050924174,"West"
"675",721718.6303,0.582049041734,"West"
"676",721742.0461,1.56494505577,"West"
"677",721776.06,19.2369454438,"West"
"678",721794.1047,0.582049041734,"West"
"679",721808.832,21.9534539213,"West"
"680",721841.61,8.36849026898,"West"
"681",721868.3452,0,"West"
"682",721878.539,0,"West"
"683",721915.47,310.085496294,"West"
"684",721923.5268,0,"West"
"685",721952.2446,68.6446881938,"West"
"686",721989.02,44.5079218968,"West"
"687",721995.0398,0.741647413391,"West"
"688",722024.3732,11.1288009253,"West"
"689",722044.6392,0,"West"
"690",722059.73,108.341550013,"West"
"691",722095.5661,0,"West"
"692",722131.41,4.47685967026,"West"
"693",722162.5726,2.63784405813,"West"
"694",722177.4722,0,"West"
"695",722193.74,0,"West"
"696",722228.6062,487.270677138,"West"
"697",722246.1729,0,"West"
"698",722263.47,2.67229167997,"West"
"699",722295.0184,85.069801514,"West"
"700",722315.0625,16.4591895495,"West"
"701",722326.56,19.0356659477,"West"
"702",722363.02,587.033628898,"West"
"703",722399.48,5.29049594917,"West"
"704",722427.5723,43.3151550821,"West"
"705",722434.2724,0.463676353698,"West"
"706",722469.07,0.288253226457,"West"
"707",722500.5328,27.7342094548,"West"
"708",722515.4653,70.1143418786,"West"
"709",722532,13.4904709283,"West"
"710",722567.9144,2.00697010952,"West"
"711",722585.711,29.397337557,"West"
"712",722603.83,9.18302485512,"West"
"713",722653.6501,5.9804202715,"West"
"714",722674.57,14.6273154222,"West"
"715",722723.5303,89.3173215492,"West"
"716",722764.8396,0,"West"
"717",722796,29.0606748929,"West"
"718",722801.7832,158.565364563,"West"
"719",722820.3584,0,"West"
"720",722844.72,0,"West"
"721",722872.114,0,"West"
"722",722872.9538,0.55479326325,"West"
