"","X","FID","density","basal","POINT_X","POINT_Y","Line","water","notree","nodata","Type","distance"
"167",426,212,139.038745474,43.1870589684,762835.5607,519401.5164,"East",NA," ",NA,"Forest",16716.3569670194
"168",428,213,196.696463834,54.2191577191,767665.7557,518500.4327,"East",NA," ",NA,"Forest",21580.7174349867
"169",430,214,73.1888191177,20.1744151861,762933.452,523421.4668,"East",NA," ",NA,"Forest",16363.0610369322
"170",432,215,220.61442691,33.0889461132,765241.8575,518547.3264,"East",NA," ",NA,"Forest",19158.4946399351
"171",434,216,51.5772905666,6.37684212713,759312.0705,515451.0598,"East",NA," ",NA,"Forest",13416.6798046469
"172",436,217,223.761553686,49.4344006152,764519.8951,522580.7236,"East",NA," ",NA,"Forest",17961.668490247
"173",438,218,59.4479609634,10.2417269887,764498.662,521772.4858,"East",NA," ",NA,"Forest",17989.2981250958
"174",440,219,111.129987942,8.16500742613,766046.9579,518537.6785,"East",NA," ",NA,"Forest",19963.1204844135
"175",442,220,35.1398007387,12.8912542902,762130.0507,523442.5172,"East",NA," ",NA,"Savanna",15559.9291929597
"176",444,221,49.9646136428,12.1776902865,766856.3568,518519.0556,"East",NA," ",NA,"Forest",20771.8872240884
"177",446,222,179.282697042,49.7824481382,764389.4641,516143.7245,"East",NA," ",NA,"Forest",18367.3140682575
"178",447,223,0,0,730882.7397,521241.3196,"West",NA,"yes",NA,"Prairie",-14249.6217534597
"179",448,223,35.6701634109,22.6290719033,762939.961,524212.5193,"East",NA," ",NA,"Savanna",16396.3508661997
"180",449,224,0,0,731842.2802,520413.1221,"West",NA,"yes",NA,"Prairie",-13425.9819529258
"181",450,224,257.460207913,11.6106741498,764421.5102,517752.7336,"East",NA," ",NA,"Forest",18330.199336055
"182",451,225,0,0,721030.2209,521687.1652,"West",NA,"yes",NA,"Prairie",-23609.7979487471
"183",452,225,53.072289872,34.9597640743,764445.9388,519367.3682,"East",NA," ",NA,"Forest",18294.217917363
"184",453,226,0,0,721878.539,522444.4216,"West",NA,"yes",NA,"Prairie",-22492.5662856807
"185",454,226,45.7705063555,4.63845157848,763626.7133,518573.8927,"East",NA," ",NA,"Savanna",17544.6571387055
"186",455,227,0,0,725105.2165,522300.1581,"West",NA,"yes",NA,"Prairie",-19820.1991228699
"187",456,227,80.9311599818,15.2961421725,762776.7641,516180.1721,"East",NA," ",NA,"Forest",16757.8468192408
"188",457,228,0,0,725882.3307,521463.6303,"West",NA,"yes",NA,"Prairie",-19144.6026997699
"189",458,228,32.9531922751,4.07422147256,764541.1282,523388.9614,"East",NA," ",NA,"Savanna",17970.4096014883
"190",459,229,0,0,726020.3957,524682.2269,"West",NA,"yes",NA,"Prairie",-18155.8791005164
"191",460,229,14.6036535568,7.22218574788,766083.9232,520145.8391,"East",NA," ",NA,"Savanna",19760.0700017676
"192",461,230,0,0,728287.09,521345.05,"West",NA,"yes",NA,"Prairie",-16785.6523176592
"193",462,230,260.393072544,51.3258726543,761152.8991,516218.4415,"East",NA," ",NA,"Forest",15137.8634583459
"194",463,231,0,0,728480.618,525387.0357,"West",NA,"yes",NA,"Prairie",-16060.8868701067
"195",464,231,102.345578223,38.3758597542,761336.0834,524249.914,"East",NA," ",NA,"Forest",14797.9091316515
"196",465,232,0,0,740780.025,520940.3093,"West",NA,"yes",NA,"Prairie",-4683.54141971819
"197",466,232,129.993458975,24.3055347637,762913.4952,522617.7645,"East",NA," ",NA,"Forest",16355.0375770567
"198",467,233,0,0,744116.937,524073.1043,"West",NA,"yes",NA,"Prairie",-726.2394747548
"199",468,233,69.7739329059,23.8999621871,762816.6696,518590.8111,"East",NA," ",NA,"Forest",16735.491992216
"200",469,234,0,0,711242.9687,520498.726,"West",NA,"yes",NA,"Prairie",-31336.7431731946
"201",470,234,0,0,764545.7222,524178.7808,"East",NA," ",NA,"Prairie",17997.9046112211
"202",471,235,0,0,712019.0767,519657.507,"West",NA,"yes",NA,"Prairie",-31290.1231205464
"203",472,235,207.698892314,71.1439855237,767642.0321,516888.7156,"East",NA," ",NA,"Forest",21567.3724150082
"204",473,236,0,0,713774.6858,522768.3392,"West",NA,"yes",NA,"Prairie",-27940.4442624804
"205",474,236,100.896580487,24.5911499871,766019.0914,516921.6247,"East",NA," ",NA,"Forest",19944.4159898106
"206",475,237,0,0,713807.57,523559.47,"West",NA,"yes",NA,"Prairie",-27423.4218465224
"207",476,237,0,0,761942.551,515394.4275,"East",NA," ",NA,"Prairie",16023.2841627626
"208",477,238,0,0,716029.1913,518691.9908,"West",NA,"yes",NA,"Prairie",-28831.7513683144
"209",478,238,0,0,764436.7571,518556.9744,"East",NA," ",NA,"Prairie",18353.9154904885
"210",479,239,0,0,717077.5754,524252.6002,"West",NA,"yes",NA,"Prairie",-24457.0930327256
"211",480,239,41.7189455759,17.0805558086,766006.709,516113.9138,"East",NA," ",NA,"Savanna",19981.3590489772
"212",481,240,0,0,717706.3976,520224.0341,"West",NA,"yes",NA,"Prairie",-26857.8236077143
"213",482,240,156.511589433,23.4744555076,766033.0246,517729.6516,"East",NA," ",NA,"Forest",19941.7073963134
"214",483,241,0,0,717865.8289,523445.737,"West",NA,"yes",NA,"Prairie",-24420.8834055745
"215",484,241,278.225789586,112.924249857,767627.1947,516084.0058,"East",NA," ",NA,"Forest",21599.1627208778
"216",485,242,0,0,718514.29,520179.38,"West",NA,"yes",NA,"Prairie",-26364.0730296388
"217",486,242,8.98421595885,2.13050888864,766115.8783,521754.568,"East",NA," ",NA,"Savanna",19602.7862450781
"218",487,243,0,0,718798.3574,525830.0068,"West",NA,"yes",NA,"Prairie",-22123.42476268
"219",488,243,197.635207408,54.9786375119,763654.7862,520194.9919,"East",NA," ",NA,"Forest",17356.8082130954
"220",489,244,0,0,701509.8292,520909.5113,"West",NA,"yes",NA,"Prairie",-39147.6256892653
"221",490,244,163.146503415,24.4695958267,768449.9638,516875.1585,"East",NA," ",NA,"Forest",22375.2202175309
"222",491,245,0,0,702182.56,517616.67,"West",NA,"yes",NA,"Prairie",-40325.7210634106
"223",492,245,0,0,763566.3084,515356.8367,"East",NA," ",NA,"Prairie",17636.2357121478
"224",493,246,0,0,702221.5156,518441.1774,"West",NA,"yes",NA,"Prairie",-39834.1306677894
"225",494,246,41.8504358471,31.2999509785,765343.316,523373.752,"East",NA," ",NA,"Savanna",18772.4819197114
"226",495,247,0,0,703843.6837,518371.6583,"West",NA,"yes",NA,"Prairie",-38529.3943484745
"227",496,247,253.282743843,23.2295871743,766065.4405,519341.7588,"East",NA," ",NA,"Forest",19884.6121707625
"228",497,248,0,0,704101.896,524755.6189,"West",NA,"yes",NA,"Prairie",-35047.681247785
"229",498,248,47.7877329843,0.774860854792,766803.342,515292.7494,"East",NA," ",NA,"Forest",20855.6597203762
"230",499,249,0,0,704747.6942,520756.467,"West",NA,"yes",NA,"Prairie",-36454.957285609
"231",500,249,20.762323624,3.57694438567,760414.7048,523496.6084,"East",NA," ",NA,"Savanna",13845.5221057891
"232",501,250,0,0,704889.3219,523934.0194,"West",NA,"yes",NA,"Prairie",-34725.1559800182
"233",502,250,162.62166579,28.0165488685,761987.1123,517004.186,"East",NA," ",NA,"Forest",15912.6415547012
"234",503,251,0,0,707062.7857,518270.1894,"West",NA,"yes",NA,"Prairie",-35994.6881812332
"235",504,251,0,0,769303.9076,519285.8813,"East",NA," ",NA,"Prairie",23077.9089153126
"236",505,252,0,0,707227.53,522255.92,"West",NA,"yes",NA,"Prairie",-33557.9200064527
"237",506,252,59.7676553886,74.1369896481,766893.2645,520128.4084,"East",NA," ",NA,"Forest",20562.3274997838
"238",507,253,0,0,709618.2319,520567.9958,"West",NA,"yes",NA,"Prairie",-32567.8974614548
"239",508,253,0,0,762805.1229,517788.2189,"East",NA," ",NA,"Prairie",16713.8854545471
"240",509,254,0,0,733082.6554,532506.6199,"West",NA,"yes",NA,"Prairie",-7627.13355081815
"241",510,254,292.44345942,77.0553098125,764455.1206,520177.7621,"East",NA," ",NA,"Forest",18148.017610555
"242",511,255,0,0,733918.9526,533278.5478,"West",NA,"yes",NA,"Prairie",-6506.79396262274
"243",512,255,181.401000025,47.7969665827,765269.5219,520161.8006,"East",NA," ",NA,"Forest",18953.679077872
"244",513,256,0,0,722938.8365,528067.7327,"West",NA,"yes",NA,"Prairie",-17561.2409358533
"245",514,256,3.65775781108,2.30008583034,761253.7435,520248.9538,"East",NA," ",NA,"Savanna",14988.6176500341
"246",515,257,0,0,727107.2,531090.5,"West",NA,"yes",NA,"Prairie",-12490.9292879548
"247",516,257,59.1419145253,6.74272134407,762893.5384,521814.0622,"East",NA," ",NA,"Forest",16386.500941851
"248",517,258,0,0,729590.1858,532622.7041,"West",NA,"yes",NA,"Prairie",-9722.83947505844
"249",518,258,51.0235957558,18.7183232079,760265.6057,517043.9532,"East",NA," ",NA,"Forest",14191.1830396836
"250",519,259,0,0,730290.7036,530146.8522,"West",NA,"yes",NA,"Prairie",-11229.904625065
"251",520,259,363.682103565,119.413726345,763696.1002,521793.274,"East",NA," ",NA,"Forest",17187.832687205
"252",521,260,0,0,711684.366,530164.9238,"West",NA,"yes",NA,"Prairie",-25891.9052333375
"253",522,260,161.844326709,59.3735970942,760352.3686,520271.2978,"East",NA," ",NA,"Forest",14102.0550428615
"254",523,261,0,0,712617.942,532526.7437,"West",NA,"yes",NA,"Prairie",-24125.3864472303
"255",524,261,119.594792314,72.2346942659,768419.6921,515265.6503,"East",NA," ",NA,"Forest",22464.6402158417
